_id,name,desc,files,admins,__v,_datatype_tags,create_date,datatype_tags,samples,uis,groupAnalysis,readme,validator,meta,validator_branch,bids,ObjectId
5d62f38749e403160c93f96a,behavior/eyetracking/peekbank,TBD.. https://github.com/langcog/peekbank/blob/master/static/peekbank-schema.json,"[{'_id': '643852d4b32aa6e00a16834e', 'id': 'aoi_data', 'filename': 'aoi_data.csv', 'required': True}, {'_id': '643852d4b32aa6e00a16834f', 'id': 'aoi_regions', 'filename': 'aoi_regions.csv', 'required': False}, {'_id': '643852d4b32aa6e00a168350', 'id': 'datasets', 'filename': 'datasets.csv', 'required': True}, {'_id': '643852d4b32aa6e00a168351', 'id': 'subjects', 'filename': 'subjects.csv', 'required': True}, {'_id': '643852d4b32aa6e00a168352', 'id': 'trials', 'filename': 'trials.csv', 'required': True}, {'_id': '643852d4b32aa6e00a168353', 'id': 'xy_data', 'filename': 'xy_data.csv', 'required': False}]",['1'],1,[],2020-09-08T15:43:02.964Z,[],[],[],False,,,,,,
5f6bf981cfa36596f6ca7dd4,dsistudio/tractmeasure,DSIStudio tractmeasure in .tsv format,"[{'_id': '5f6bf981cfa36558d0ca7dd5', 'id': 'tractmeasure', 'desc': '', 'required': True, 'filename': 'tractmeasure.tsv'}]","['1179', '1']",4,['qc'],2020-09-24T01:42:25.767Z,[],['5f6caed06bbee30e2f9a0891'],"[{'docker': False, '_id': '5be75b31e15a02914a4be8f0', 'ui': 'raw', 'name': 'File Viewer', 'desc': ""Browse / download files via Brain-Life's File Browser"", 'avatar': 'https://brainlife.io/images/ui-logos/raw.png'}]",False,"```
FileName	Image dimension	Resolution	DWI count	Max b-value	Neighboring DWI correlation	# Bad Slices
dwi	96 96 63 	2.2917 2.2917 2.3 	50	1001.005981	0.900497	0

```",brainlife/validator-dsistudio-tractmeasure,,,,
5db8b3a18aeeee1cbbf30a20,eyetrack/asc,The eye-tracking data files naturally contain gaze position (x/y coordinates) and pupil size data. ,"[{'_id': '5db8b3a18aeeee1b2cf30a21', 'id': 'eyetrack', 'desc': 'converted from .edf', 'required': True, 'filename': 'eyetrack.asc'}]",['1'],2,[],2019-10-29T21:48:17.531Z,[],[],"[{'docker': False, '_id': '5be75b31e15a02914a4be8f0', 'ui': 'raw', 'name': 'File Viewer', 'desc': ""Browse / download files via Brain-Life's File Browser"", 'avatar': 'https://brainlife.io/images/ui-logos/raw.png'}]",False,https://docs.google.com/document/d/1eggzTCzSHG3AEKhtnEDbcdk-2avXN6I94X8aUPEBVsw/edit#,,,,,
59666a40b09297d8d8271dfc,generic/image/png,PNG Image (deprecated by images datatype),"[{'_id': '643852d4b32aa6e00a168356', 'id': 'image', 'filename': 'image.png', 'required': True}]",['1'],4,"['avg', 'epochs', 'equal', 'grad', 'mag', 'maxfilt', 'maxwell', 'movecomp', 'psd', 'response_function', 'rest', 'retest', 'split', 'test']",2020-09-08T15:43:02.941Z,[],[],"[{'docker': False, '_id': '5be75b31e15a02914a4be8f0', 'ui': 'raw', 'name': 'File Viewer', 'desc': ""Browse / download files via Brain-Life's File Browser"", 'avatar': 'https://brainlife.io/images/ui-logos/raw.png'}]",False,,,[],,,
5cb7711c44947d8aea8cb4f4,generic/image/svg,SVG Image,"[{'_id': '643852d4b32aa6e00a168357', 'id': 'image', 'filename': 'image.svg', 'required': True}]",['1'],6,"['afq', 'categories', 'cleaned', 'customSeg', 'roi_mrtrix3_ifod2', 'roi_trekker', 'wmaSeg']",2020-09-08T15:43:02.962Z,[],[],"[{'docker': False, '_id': '5be75b31e15a02914a4be8f0', 'ui': 'raw', 'name': 'File Viewer', 'desc': ""Browse / download files via Brain-Life's File Browser"", 'avatar': 'https://brainlife.io/images/ui-logos/raw.png'}]",False,,,[],,,
5967b799b09297d8d831709e,generic/images,Collection of various images with metadata,"[{'_id': '5dcf0d0bc4ae286e7d2991de', 'id': 'images_json', 'filename': 'images.json', 'required': True, 'desc': 'It should look like\n\n{\n    ""images"": [\n        {\n            ""filename"": ""images/brainmask.svg"",\n            ""name"": ""brainmask"",\n            ""desc"": ""TODO""\n        },\n        {\n            ""filename"": ""images/carpetplot.svg"",\n            ""name"": ""carpetplot"",\n            ""desc"": ""TODO""\n        },\n        {\n            ""filename"": ""images/sampling_scheme.gif"",\n            ""name"": ""sampling_scheme"",\n            ""desc"": ""TODO""\n        }\n    ]\n}'}, {'_id': '5dcf0d0bc4ae28790b2991dd', 'id': 'images', 'dirname': 'images', 'required': True}]",['1'],8,"['3Dsurfaces', 'aLIC', 'cleaned', 'cortex_mapping', 'customSeg', 'dwi-t1', 'odf', 'qa_image', 'reconstructed', 'tissue_types', 'tract_profiles', 'wb_tractogram', 'white_matter_tract_overlays', 'wmc_figures']",2019-11-15T20:39:39.536Z,[],['5dcf0470c4ae2841a929906b'],"[{'docker': False, '_id': '5be75b31e15a02914a4be8f0', 'ui': 'raw', 'name': 'File Viewer', 'desc': ""Browse / download files via Brain-Life's File Browser"", 'avatar': 'https://brainlife.io/images/ui-logos/raw.png'}, {'docker': False, '_id': '5bf755abe15a02914af8ef62', 'ui': 'images', 'name': 'Image Tile', 'desc': 'Generic image viewer', 'avatar': 'https://brainlife.io/images/ui-logos/images.png'}]",False,"This datatype stores N number of images (with any image format supported by the modern browser)  and displays them in a table of 4 columns. images.json must enumerate all images stored inside /images subdirectory. 

We recommend using HTML datatype instead of this datatype.",,[],,,
5ed0352de3f453b13b267dae,generic/network,"Generic network data structure containing nodes and edges with various metadata using JGF v2 format. This datatype will replace the existing ""conmat"" datatype eventually.","[{'_id': '5ed0352de3f4530680267daf', 'id': 'network', 'desc': '', 'required': True, 'filename': 'network.json.gz'}]","['19', '704', '146', '239', '1']",28,"['EMD', 'SOE_mn', 'SOE_sd', 'SOE_th', 'bold', 'communities', 'count', 'denlen', 'density', 'fmriprep', 'identification', 'length', 'letter2backtask', 'measurements', 'network-preprocess', 'networkmatrices', 'null-model', 'preprocessed', 'rest', 'rmse_mn', 'rmse_sd', 'satellite', 'time series', 'volume']",2020-05-28T22:03:25.508Z,"[{'_id': '5fa415cae138ec977a4e996e', 'datatype_tag': 'networkneuro', 'desc': 'For this datatype we should have the following metadata attributes\n\n# graph\n\nsomekey: this is for xyz\nanotherkye: this is for another things (it should be float)\n\n# nodes\n\nsomekey: this is for xyz\nanotherkye: this is for another things (it should be float)\n\n# edges \n\nsomekey: this is for xyz\nanotherkye: this is for another things (it should be float)\n\n# example json\n\n```\n{\n  ""graph"": {\n    ""directed"": false,\n    ""type"": ""graph type"",\n    ""label"": ""graph label"",\n    ""metadata"": {\n      ""somekey"": ""values"",\n      ""anotherkey"": ""values""\n    },\n    ""nodes"": {\n      ""0"": {\n        ""type"": ""node type"",\n        ""label"": ""node label(0)"",\n        ""metadata"": {\n      ""somekey"": ""values"",\n      ""anotherkey"": ""values""\n        }\n      },\n      ""1"": {\n        ""type"": ""node type"",\n        ""label"": ""node label(1)"",\n        ""metadata"": {\n      ""somekey"": ""values"",\n      ""anotherkey"": ""values""\n        }\n      }\n    },\n    ""edges"": [\n      {\n        ""source"": ""0"",\n        ""relation"": ""edge relationship"",\n        ""target"": ""1"",\n        ""directed"": false,\n        ""label"": ""edge label"",\n        ""metadata"": {\n          ""user-defined"": ""values""\n        }\n      }\n    ]\n  }\n}\n\n```'}]",[],"[{'docker': False, '_id': '5be75b31e15a02914a4be8f0', 'ui': 'raw', 'name': 'File Viewer', 'desc': ""Browse / download files via Brain-Life's File Browser"", 'avatar': 'https://brainlife.io/images/ui-logos/raw.png'}]",True,"This datatype uses gzipped JSON structured in ""v2 JSON graph format"" (https://github.com/jsongraph/json-graph-specification) used by companies such as BioDati, ADSWorks, etc.

Here is an example JSON structure

```json
{
  ""graph"": {
    ""directed"": false,
    ""type"": ""graph type"",
    ""label"": ""graph label"",
    ""metadata"": {
      ""user-defined"": ""values""
    },
    ""nodes"": {
      ""0"": {
        ""type"": ""node type"",
        ""label"": ""node label(0)"",
        ""metadata"": {
          ""user-defined"": ""values""
        }
      },
      ""1"": {
        ""type"": ""node type"",
        ""label"": ""node label(1)"",
        ""metadata"": {
          ""user-defined"": ""values""
        }
      }
    },
    ""edges"": [
      {
        ""source"": ""0"",
        ""relation"": ""edge relationship"",
        ""target"": ""1"",
        ""directed"": false,
        ""label"": ""edge label"",
        ""metadata"": {
          ""user-defined"": ""values""
        }
      }
    ]
  }
}

```

# Notes

Although JGF allow for multiple graphs object by storing an array of objects under ""graph"" key, we ask that we only store one graph for this json as not all Apps are designed to handle multiple graphs. On the other hand, all Apps that uses this datatype should check to make sure that the object under ""graph"" key is no an array.
",brainlife/validator-network,,,,
604a4553ebfe4559de3af944,generic/timeseries,"A time series is a chronologically ordered series of numeric values. Time series will generally be stored as tables, with a row of column headers indicating the name of the series. ","[{'_id': '604a4553ebfe45e8de3af945', 'id': 'tsv', 'desc': '', 'required': True, 'filename': 'timeseries.tsv.gz'}, {'_id': '6092c02c8fe49f18dc1ca25a', 'id': 'json', 'desc': 'Associated label metadata for creation of func network', 'required': True, 'filename': 'timeseries.json'}]","['16', '704', '239', '1']",9,['time series'],2021-03-11T16:29:07.983Z,[],[],"[{'docker': False, '_id': '5be75b31e15a02914a4be8f0', 'ui': 'raw', 'name': 'File Viewer', 'desc': ""Browse / download files via Brain-Life's File Browser"", 'avatar': 'https://brainlife.io/images/ui-logos/raw.png'}]",False,"Based on https://github.com/bids-standard/bids-specification/pull/519/files

timeseries.tsv.gz will contain a table that looks like the following

```
colname1 colname2 colname3
12                98                 11
11                34                 53
54                34                 34
```

## metadata/sidecar (config.json)

```
{
    ""SamplingFrequency"": 1.5,
    ""StartTime"": ""2012-02-03T923:33:35Z"",
}
```

The metadata (sidecar) for this object contains information about a few key attributes (SamplingFrequency, and StartTime) and column definitions for each measurement

## timeseries.json

```
{
    ""colname1"": {
        ""CumulativeVarianceExplained"": 0.0783402075,
        ""Mask"": ""CSF"",
        ""Method"": ""aCompCor"",
        ""Retained"": true,
        ""SingularValue"": 93.9257549802,
        ""VarianceExplained"": 0.0783402075
     },
     ""colname2"": {
        ""CumulativeVarianceExplained"": 0.0783402075,
        ""Mask"": ""CSF"",
        ""Method"": ""aCompCor"",
        ""Retained"": true,
        ""SingularValue"": 93.9257549802,
        ""VarianceExplained"": 0.0783402075
     },
     ""colname3"": {
        ""CumulativeVarianceExplained"": 0.0783402075,
        ""Mask"": ""CSF"",
        ""Method"": ""aCompCor"",
        ""Retained"": true,
        ""SingularValue"": 93.9257549802,
        ""VarianceExplained"": 0.0783402075
     }
     ....
}
```

`SamplingFrequency` is required for uniform time series data (in seconds). 

For non-uniform time series data, there should be `onset`, and `duration` columns (units in seconds). Please see https://bids-specification.readthedocs.io/en/stable/04-modality-specific-files/05-task-events.html as an example.

`StartTime` is optional.


# label.json should look like this

```
[
    {
        ""voxel_value"": 1,
        ""label"": ""1001"",
        ""name"": ""lh.Background+FreeSurfer_Defined_Medial_Wall.label""
    },
    {
        ""voxel_value"": 2,
        ""label"": ""1002"",
        ""name"": ""lh.17Networks_LH_VisCent_ExStr_1.label""
    },
    {
        ""voxel_value"": 3,
        ""label"": ""1003"",
        ""name"": ""lh.17Networks_LH_VisCent_ExStr_2.label""
    },
```",brainlife/validator-timeseries,,main,,
5ed834cdda66453cde8edfb7,generic/timeseries-deprecated,Generic time-series datatype,"[{'_id': '5ed834f4da66454a638edfb8', 'id': 'timeseries', 'desc': '', 'required': True, 'filename': 'timeseries.hdf5'}, {'_id': '5edbb5bcc5972b7aadb387dc', 'id': 'key', 'desc': 'associated label metadata for creation of func network', 'required': False, 'filename': 'key.txt'}, {'_id': '5edbb5bcc5972ba9b6b387dd', 'id': 'label', 'desc': 'associated label metadata for creation of func network', 'required': False, 'filename': 'label.json'}]","['239', '1']",6,"['bold', 'fmriprep', 'preprocessed', 'rest', 'time series']",2020-06-03T23:39:57.723Z,[],[],"[{'docker': False, '_id': '5be75b31e15a02914a4be8f0', 'ui': 'raw', 'name': 'File Viewer', 'desc': ""Browse / download files via Brain-Life's File Browser"", 'avatar': 'https://brainlife.io/images/ui-logos/raw.png'}]",False,"This datatype can be used to store time-series data in .hdf5 data format. 

Inside the `timeseries.hdf5`, it is expected to have the following 2 objects

```
/timeseries
   --TODO describe--
/regionids
   --TODO describe--
```

timeseries and regionids are stored as following.
> https://github.com/brainlife/app-time-series-2-network/blob/master/src/makemat.py

```
                h5f.create_dataset('timeseries',
                                   data=times,
                                   compression=""gzip"")
                h5f.create_dataset('regionids',
                                   data=np.array(regions))

```",,,,,
6079f960f1481a4d788fba3e,jupyter/notebook,A datatype to store jupyter notebook content,"[{'_id': '6079f960f1481a4d788fba3f', 'id': 'notebook', 'desc': 'Directory containing .ipynb/.py and other content', 'required': True, 'dirname': 'notebook'}]",['1'],0,[],2021-04-16T20:53:52.790Z,[],[],"[{'docker': False, '_id': '5be75b31e15a02914a4be8f0', 'ui': 'raw', 'name': 'File Viewer', 'desc': ""Browse / download files via Brain-Life's File Browser"", 'avatar': 'https://brainlife.io/images/ui-logos/raw.png'}]",False,,,,,,
